site,panel_id,preview_status,rule_name,current_event_type_ko,proposed_event_type_ko,current_event_interpretation_ko,proposed_event_interpretation_ko,current_final_pattern_ko,proposed_final_pattern_ko,current_event_history_ko,proposed_event_history_ko,current_precursor_flag,proposed_precursor_flag,current_abrupt_flag,proposed_abrupt_flag,current_precursor_eval_flag,proposed_precursor_eval_flag,current_abrupt_eval_flag,proposed_abrupt_eval_flag,current_first_precursor_date,proposed_first_precursor_date,current_first_precursor_marker,proposed_first_precursor_marker,current_interpreted_onset_date,proposed_interpreted_onset_date,strict_trigger_date,proposed_fault_anchor_date,current_precursor_history_flag,proposed_precursor_history_flag,current_abrupt_history_flag,proposed_abrupt_history_flag,current_detail_fault_basis_date,proposed_detail_fault_basis_date,gap_days,strict_trigger_proximal_common_cause_flag,site_event_history_flag,subgroup_common_cause_history_flag,semantic_transition_class,preview_reason
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2025-03-22,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,0,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2024-12-12,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,0,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.1.9,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2025-10-29,,anom_subtype:degradation,,2024-11-29,,2025-02-12,2025-02-12,1,0,0,1,2025-02-12,2025-02-12,75,0,1,1,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2024-12-11,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,1,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2024-10-24,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,1,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2024-12-11,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,1,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,preview_only_not_applied,G1_extreme_longgap_one_day,전조형 고장,급작 고장,전조형 고장,급작 고장,진행성 악화,급작 발생,전조형 고장,급작 고장,1,0,0,1,1,0,0,1,2024-12-11,,anom_subtype:degradation,,2025-01-29,,2025-10-26,2025-10-26,1,0,0,1,2025-10-26,2025-10-26,270,1,1,1,전조형 고장 -> 급작 고장,BR014 preview only: apply BR013 G1 shadow interpretation to operator-facing columns; do not write production output
