site,panel_root,panel_id,패널고장여부_ko,사건유형_재판정_ko,최종고장양상_재판정_ko,current_precursor_onset_date,strict_trigger_date,gap_days,onset_method,degradation_onset_backdate_guard_flag,secondary_window_selected_onset_date,secondary_window_selected_marker,secondary_window_selected_gap_days,secondary_window_qualified_count,secondary_window_too_early_count,site_event_history_flag,subgroup_common_cause_history_flag,common_cause_history_flag,strict_trigger_proximal_common_cause_flag,trigger_proximal_common_cause_flag,shadow_rule_candidate,shadow_rule_condition,shadow_precursor_onset_date_after_g1,shadow_strict_trigger_date_after_g1,shadow_event_type_if_g1_applied,shadow_final_pattern_if_g1_applied,shadow_transition_class,shadow_precursor_removed,shadow_decision,shadow_decision_reason,operator_facing_change_allowed,code_change_allowed
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-06-28,prealarm_cond_hs_mid_or_hi,120,44,350,1,0,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-07-04,prealarm_cond_dtw_mid_or_hi,114,49,406,1,0,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6,e089076c-92c1-4365-8641-2182b4f274e6.1.9,고장,전조형 고장,진행성 악화,2024-11-29,2025-02-12,75,anom_subtype:degradation,1,2024-10-15,prealarm_cond_ae_mid_or_hi,120,75,5,1,1,1,0,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-02-12,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-06-28,pre_ews,120,262,1079,1,1,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-06-28,pre_ews,120,336,730,1,1,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-06-28,pre_ews,120,143,804,1,1,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,2025-06-28,pre_ews,120,274,1026,1,1,1,1,1,G1_extreme_longgap_one_day,onset_method=anom_subtype:degradation; gap_days>=30; degradation_onset_backdate_guard_flag=1,,2025-10-26,급작 고장,급작 발생,전조형 고장 -> 급작 고장,1,suppression_shadow_candidate,G1 would suppress extreme long-gap one-day degradation onset; strict trigger remains as the event anchor,0,0
