site,panel_id,cf_onset,cf_strict,cf_gap_days,slice_rows,slice_date_min,slice_date_max,signal_count_sum,signal_nonzero_days,qualified_secondary_count,context_score,context_reasons,case_site_event_history,case_strict_common_cause,case_terminal_evidence,pre_ews_days,ews_warning_days,pre_alarm_days,prefault_B_effective_days,prefault_cond_ae_days,prefault_cond_dtw_days,prefault_cond_ews_days,prealarm_cond_ae_mid_or_hi_days,prealarm_cond_dtw_mid_or_hi_days,prealarm_cond_hs_mid_or_hi_days,site_event_soft_days,site_event_hard_days,subgroup_common_cause_candidate_days,br006_review_priority
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-29,2025-10-27,120,14,2025-06-26,2025-07-09,21,14,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence",True,False,True,7,3,3,13,14,14,14,11,11,3,1,1,0,priority_manual_review
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-20,2025-08-16,118,14,2025-04-17,2025-04-30,0,0,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence",True,False,True,0,0,0,0,0,0,0,0,1,3,0,0,0,priority_manual_review
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.14,2025-06-28,2025-10-26,120,14,2025-06-25,2025-07-08,0,0,91,6,"strict_common_cause,site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict",True,True,False,0,0,0,0,0,0,0,0,6,1,1,1,0,priority_manual_review
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.17,2025-07-07,2025-10-26,111,11,2025-07-04,2025-07-14,0,0,47,6,"strict_common_cause,site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict",True,True,False,0,0,0,0,0,0,0,0,4,0,0,0,0,priority_manual_review
