table_name,site,panel_id,output_column,before_value,after_value
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,전조평가셋편입_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,전조평가셋편입_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,전조평가셋편입_flag,1,0
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,급작평가셋편입_flag,0,1
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,운영최초전조발견일,2025-03-22,
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,운영최초전조발견일,2024-12-12,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,운영최초전조발견일,2024-12-11,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,운영최초전조발견일,2024-10-24,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,운영최초전조발견일,2024-12-11,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,운영최초전조발견일,2024-12-11,
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
