site,panel_id,current_event_type_ko,current_final_pattern_ko,algorithm_family_ko,heuristic_top1_ko,episode_basis_date,episode_basis_kind,retrospective_onset_date,g1_original_suppressed_onset_date,strict_trigger_date,gap_days,onset_method,degradation_days_in_window,shadow_days_in_window,event_A_days_in_window,event_A_days_after_onset,low_mid_ratio_days_in_window,low_mid_ratio_days_after_onset,fault_like_days_in_window,pre_ews_days_in_window,ews_warning_days_in_window,pre_alarm_days_in_window,prefault_B_effective_days_in_window,median_mid_ratio_between,min_mid_ratio_between,onset_mid_ratio,onset_mid_v_ratio,onset_mid_i_ratio,onset_dtw_dist,site_panel_count_on_episode,site_event_A_count_on_episode,site_degradation_count_on_episode,group_key_on_episode,group_panel_count_on_episode,group_event_A_count_on_episode,group_event_A_fraction_on_episode,subgroup_common_cause_history_flag,strict_trigger_proximal_common_cause_flag,g1_suppressed_event_shadow_flag,g1_suppressed_event_guard_applied_flag,episode_class_shadow,fault_family_hypothesis_shadow_ko,precursor_promotion_shadow_decision,shadow_reason_ko,production_write_allowed
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,9,7,3,1,1,15,3,1,0,1.0,0.0,0.581,0.865,0.642,17.672,184,59,9,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.v0,17,8,0.471,0,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,7,5,3,1,1,9,0,0,0,1.012,0.0,0.562,0.897,0.614,21.135,184,59,9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.v0,18,7,0.389,0,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.1.9,전조형 고장,진행성 악화,모듈손상형,열화형,2024-11-29,g1_original_suppressed_onset,2024-11-29,2024-11-29,2025-02-12,75,anom_subtype:degradation,1,0,3,1,1,0,1,3,0,0,0,0.995,0.89,0.457,0.466,0.984,35.322,179,65,3,e089076c-92c1-4365-8641-2182b4f274e6.1.v0,17,5,0.294,1,0,1,0,common_cause_episode_hold,외부계통·공통원인 계열,block_individual_precursor,site/root/subgroup simultaneous context without strict-proximal support,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,6,4,3,1,1,32,3,3,0,1.009,0.0,0.494,0.99,0.499,23.178,184,59,9,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.v0,19,7,0.368,1,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,11,9,3,1,1,31,3,1,0,1.009,0.0,0.488,0.998,0.489,24.154,184,59,9,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.v0,19,7,0.368,1,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,8,6,3,1,1,35,3,2,0,0.999,0.0,0.368,0.837,0.428,39.068,184,59,9,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.v0,19,7,0.368,1,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,급작 고장,급작 발생,모듈손상형,열화형,2025-01-29,g1_original_suppressed_onset,,2025-01-29,2025-10-26,270,runtime_trigger_only,1,0,14,12,3,1,1,29,3,2,0,1.007,0.0,0.443,0.954,0.462,30.689,184,59,9,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.v0,19,7,0.368,1,1,1,1,long_gap_one_day_episode_hold,열화·오염·음영 계열 후보 보류,block_precursor_backdating,one-day degradation with gap>120 days; retain as early stress episode only,0
