site,panel_id,precursor_onset_date,precursor_fault_date,abrupt_anchor_date,abrupt_fault_date,lead_days_from_precursor_to_abrupt_fault,same_event_flag,distinct_event_flag,consistency_judgment_ko,reasoning_ko
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,2024-11-08,2024-11-26,2024-11-26,2024-11-26,18,1,0,같은 사건,precursor_onset=2024-11-08; precursor_fault=2024-11-26; abrupt_anchor=2024-11-26; abrupt_fault=2024-11-26; onset_to_abrupt_fault=18일; fault_date_gap=0일; selected_episode_end_to_abrupt_fault=1일; reaudit_first_warning=2024-11-06; reaudit_retrospective_onset=2024-11-06; precursor onset이 abrupt fault보다 먼저 나오고 precursor fault_start_date와 abrupt fault date가 같은/가까운 날짜라 한 evolving fault episode로 읽는 편이 안전하다.
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,2025-01-27,2025-02-02,2025-02-02,2025-02-02,6,1,0,같은 사건,precursor_onset=2025-01-27; precursor_fault=2025-02-02; abrupt_anchor=2025-02-02; abrupt_fault=2025-02-02; onset_to_abrupt_fault=6일; fault_date_gap=0일; selected_episode_end_to_abrupt_fault=1일; reaudit_first_warning=2024-12-25; reaudit_retrospective_onset=2025-01-25; precursor onset이 abrupt fault보다 먼저 나오고 precursor fault_start_date와 abrupt fault date가 같은/가까운 날짜라 한 evolving fault episode로 읽는 편이 안전하다.
